countries,total_cases,new_cases,total_recovered,active_cases,total_cases_per_million,new_deaths,death_per_million,total_deaths
Guadeloupe,134,0,24,103,335.0,0,17.0,134
Mayotte,134,0,14,118,491.0,0,7.0,134
Kenya,126,0,4,118,2.0,0,0.07,126
Isle of Man,126,0,0,125,1482.0,0,12.0,126
Cambodia,114,0,50,64,7.0,0,0.0,114
Guinea,111,0,5,106,8.0,0,0.0,111
Paraguay,104,8,12,89,15.0,0,0.4,104
Trinidad and Tobago,103,0,1,96,74.0,0,4.0,103
Rwanda,102,0,0,102,8.0,0,0.0,102
Gibraltar,98,0,52,46,2909.0,0,0.0,98
Liechtenstein,77,0,0,76,2020.0,0,26.0,77
Bangladesh,70,0,30,32,0.4,0,0.05,70
Madagascar,70,0,0,70,3.0,0,0.0,70
Monaco,66,0,3,62,1682.0,0,25.0,66
Aruba,64,0,1,63,599.0,0,0.0,64
El Salvador,62,6,2,57,10.0,0,0.5,62
Guatemala,61,0,15,44,3.0,0,0.1,61
French Guiana,61,0,22,39,204.0,0,0.0,61
Jamaica,55,2,7,45,19.0,0,1.0,55
Barbados,52,0,0,52,181.0,0,0.0,52
Djibouti,50,0,8,42,51.0,0,0.0,50
Uganda,48,0,0,48,1.0,0,0.0,48
Macao,44,0,10,34,68.0,0,0.0,44
Mali,41,0,1,37,2.0,0,0.1,41
Togo,41,0,17,21,5.0,0,0.4,41
French Polynesia,40,0,0,40,142.0,0,0.0,40
Zambia,39,0,2,36,2.0,0,0.05,39
Ethiopia,38,0,4,34,0.3,0,0.0,38
Bermuda,37,0,14,23,594.0,0,0.0,37
Cayman Islands,35,0,1,33,533.0,0,15.0,35
Saint Martin,29,5,7,20,750.0,0,52.0,29
Eritrea,29,0,0,29,8.0,0,0.0,29
Bahamas,28,0,0,24,71.0,0,10.0,28
Sint Maarten,25,2,6,15,583.0,0,93.0,25
Guyana,24,1,0,20,31.0,0,5.0,24
Congo,22,0,2,18,4.0,0,0.4,22
Gabon,21,0,1,19,9.0,0,0.4,21
Myanmar,21,0,0,20,0.4,0,0.02,21
Haiti,21,1,1,20,2.0,0,0.0,21
Tanzania,20,0,3,16,0.3,0,0.02,20
Maldives,19,0,13,6,35.0,0,0.0,19
Libya,18,0,0,17,3.0,0,0.1,18
Guinea-Bissau,18,0,0,18,9.0,0,0.0,18
New Caledonia,17,0,1,16,60.0,0,0.0,17
Syria,16,0,2,12,0.9,0,0.1,16
Benin,16,0,2,14,1.0,0,0.0,16
Equatorial Guinea,16,0,1,15,11.0,0,0.0,16
Antigua and Barbuda,15,0,0,15,153.0,0,0.0,15
Dominica,14,0,0,14,194.0,0,0.0,14
Mongolia,14,0,2,12,4.0,0,0.0,14
Namibia,14,0,3,11,6.0,0,0.0,14
Saint Lucia,14,0,1,13,76.0,0,0.0,14
Fiji,12,0,0,12,13.0,0,0.0,12
Grenada,12,0,0,12,107.0,0,0.0,12
Curaçao,11,0,5,5,67.0,0,6.0,11
Greenland,11,0,3,8,194.0,0,0.0,11
Angola,10,0,2,6,0.3,0,0.06,10
Sudan,10,0,2,6,0.2,0,0.05,10
Liberia,10,0,3,6,2.0,0,0.2,10
Suriname,10,0,0,9,17.0,0,2.0,10
Laos,10,0,0,10,1.0,0,0.0,10
Mozambique,10,0,1,9,0.3,0,0.0,10
Seychelles,10,0,0,10,102.0,0,0.0,10
MS Zaandam,9,0,0,7,0.0,0,0.0,9
Zimbabwe,9,0,0,8,0.6,0,0.07,9
Nepal,9,0,1,8,0.3,0,0.0,9
Chad,9,0,0,9,0.5,0,0.0,9
Saint Kitts and Nevis,9,0,0,9,169.0,0,0.0,9
Eswatini,9,0,0,9,8.0,0,0.0,9
CAR,8,0,0,8,2.0,0,0.0,8
Cabo Verde,7,0,0,6,13.0,0,2.0,7
Vatican City,7,0,0,7,8739.0,0,0.0,7
St. Vincent Grenadines,7,0,1,6,63.0,0,0.0,7
Somalia,7,0,1,6,0.4,0,0.0,7
Mauritania,6,0,2,3,1.0,0,0.2,6
Montserrat,6,0,0,6,1202.0,0,0.0,6
St. Barth,6,0,1,5,607.0,0,0.0,6
Nicaragua,5,0,0,4,0.8,0,0.2,5
Bhutan,5,0,2,3,6.0,0,0.0,5
Turks and Caicos,5,0,0,5,129.0,0,0.0,5
Botswana,4,0,0,3,2.0,0,0.4,4
Gambia,4,0,2,1,2.0,0,0.4,4
Belize,4,0,0,4,10.0,0,0.0,4
Malawi,4,0,0,4,0.2,0,0.0,4
Sierra Leone,4,0,0,4,0.5,0,0.0,4
Western Sahara,4,0,0,4,7.0,0,0.0,4
Anguilla,3,0,0,3,200.0,0,0.0,3
British Virgin Islands,3,0,0,3,99.0,0,0.0,3
Burundi,3,0,0,3,0.3,0,0.0,3
Caribbean Netherlands,2,0,0,2,76.0,0,0.0,2
Falkland Islands,1,0,0,1,287.0,0,0.0,1
Papua New Guinea,1,0,0,1,0.1,0,0.0,1
Timor-Leste,1,0,0,1,0.8,0,0.0,1
China,81669,30,76964,1376,57.0,3,2.0,81669
Total:,1202715,1262,246648,891333,154.3,46,8.3,1202715
World,1201453,84810,246258,890507,154.0,5801,8.3,1201453
China,81639,19,76755,1558,57.0,4,2.0,81639
USA,311357,34196,14825,288080,941.0,1331,26.0,311357
Spain,126168,6969,34219,80002,2699.0,749,256.0,126168
Italy,124632,4805,20996,88274,2061.0,681,254.0,124632
Germany,96092,4933,26400,68248,1147.0,169,17.0,96092
France,89953,7788,15438,66955,1378.0,1053,116.0,89953
Iran,55743,2560,19736,32555,664.0,158,41.0,55743
UK,41903,3735,135,37455,617.0,708,64.0,41903
Turkey,23934,3013,786,22647,284.0,76,6.0,23934
Switzerland,20505,899,6415,13424,2369.0,75,77.0,20505
Belgium,18431,1661,3247,13901,1590.0,140,111.0,18431
Netherlands,16627,904,250,14726,970.0,164,96.0,16627
Canada,13912,1537,2595,11086,369.0,23,6.0,13912
Austria,11781,257,2507,9088,1308.0,18,21.0,11781
Portugal,10524,638,75,10183,1032.0,20,26.0,10524
Brazil,10360,1166,127,9788,49.0,82,2.0,10360
S. Korea,10156,94,6325,3654,198.0,3,3.0,10156
Israel,7851,423,427,7380,907.0,4,5.0,7851
Sweden,6443,312,205,5865,638.0,15,37.0,6443
Norway,5550,180,32,5456,1024.0,3,11.0,5550
Australia,5550,96,585,4935,218.0,2,1.0,5550
Russia,4731,582,333,4355,32.0,9,0.3,4731
Ireland,4604,331,25,4442,932.0,17,28.0,4604
Czechia,4472,282,78,4335,418.0,6,6.0,4472
Chile,4161,424,528,3606,218.0,5,1.0,4161
Denmark,4077,320,1283,2633,704.0,22,28.0,4077
Poland,3627,244,116,3432,96.0,8,2.0,3627
Romania,3613,430,329,3138,188.0,13,8.0,3613
India,3588,529,229,3260,3.0,13,0.07,3588
Malaysia,3483,150,915,2511,108.0,4,2.0,3483
Ecuador,3465,97,100,3193,196.0,27,10.0,3465
Japan,3139,204,514,2548,25.0,8,0.6,3139
Philippines,3094,76,57,2893,28.0,8,1.0,3094
Pakistan,2818,132,131,2646,13.0,1,0.2,2818
Luxembourg,2729,117,500,2198,4360.0,0,50.0,2729
Saudi Arabia,2179,140,420,1730,63.0,4,0.8,2179
Indonesia,2092,106,150,1751,8.0,10,0.7,2092
Thailand,2067,89,674,1373,30.0,1,0.3,2067
Finland,1882,267,300,1557,340.0,5,5.0,1882
Panama,1801,128,13,1742,417.0,5,11.0,1801
Peru,1746,151,914,759,53.0,12,2.0,1746
Mexico,1688,178,633,995,13.0,10,0.5,1688
Greece,1673,60,78,1527,161.0,5,7.0,1673
Serbia,1624,148,54,1526,186.0,5,5.0,1624
South Africa,1585,80,95,1481,27.0,0,0.2,1585
Dominican Republic,1578,90,17,1484,145.0,9,7.0,1578
UAE,1505,241,125,1370,152.0,1,1.0,1505
Argentina,1451,98,279,1129,32.0,1,1.0,1451
Iceland,1417,53,396,1017,4152.0,0,12.0,1417
Colombia,1406,139,85,1289,28.0,7,0.6,1406
Qatar,1325,250,109,1213,460.0,0,1.0,1325
Algeria,1251,80,90,1031,29.0,25,3.0,1251
Ukraine,1225,153,25,1168,28.0,5,0.7,1225
Singapore,1189,75,297,886,203.0,1,1.0,1189
Croatia,1126,47,119,995,274.0,4,3.0,1126
Egypt,1070,85,241,758,10.0,5,0.7,1070
Estonia,1039,78,59,967,783.0,1,10.0,1039
Slovenia,977,43,79,876,470.0,2,11.0,977
New Zealand,950,82,127,822,197.0,0,0.2,950
Morocco,919,128,66,794,25.0,11,2.0,919
Iraq,878,58,259,563,22.0,2,1.0,878
Hong Kong,862,17,173,685,115.0,0,0.5,862
Lithuania,771,75,7,753,283.0,2,4.0,771
Armenia,770,34,43,720,260.0,0,2.0,770
Moldova,752,161,29,711,186.0,4,3.0,752
Diamond Princess,712,0,619,82,0.0,0,0.0,712
Bahrain,688,16,423,261,404.0,0,2.0,688
Hungary,678,55,58,588,70.0,6,3.0,678
Bosnia and Herzegovina,624,45,30,573,190.0,4,6.0,624
Cameroon,555,46,17,529,21.0,1,0.3,555
Tunisia,553,58,5,530,47.0,0,2.0,553
Kazakhstan,531,67,36,490,28.0,2,0.3,531
Azerbaijan,521,78,32,484,51.0,0,0.5,521
Lebanon,520,12,54,449,76.0,0,2.0,520
Latvia,509,16,1,507,270.0,0,0.5,509
Bulgaria,503,18,34,452,72.0,3,2.0,503
North Macedonia,483,53,20,446,232.0,5,8.0,483
Kuwait,479,62,93,385,112.0,1,0.2,479
Slovakia,471,21,10,460,86.0,0,0.2,471
Andorra,466,27,21,428,6031.0,1,220.0,466
Belarus,440,89,53,382,47.0,1,0.5,440
Costa Rica,435,19,13,420,85.0,0,0.4,435
Cyprus,426,30,33,384,353.0,-2,7.0,426
Uruguay,400,14,93,302,115.0,1,1.0,400
Taiwan,355,7,50,300,15.0,0,0.2,355
Réunion,334,13,40,294,373.0,0,0.0,334
Albania,333,29,99,214,116.0,3,7.0,333
Jordan,323,13,74,244,32.0,0,0.5,323
Burkina Faso,318,16,66,236,15.0,0,0.8,318
Afghanistan,309,28,10,292,8.0,1,0.2,309
Cuba,288,19,15,267,25.0,0,0.5,288
Oman,277,25,61,214,54.0,1,0.4,277
Uzbekistan,266,39,25,239,8.0,0,0.06,266
Honduras,264,42,3,246,27.0,0,2.0,264
Channel Islands,262,30,13,244,1507.0,1,29.0,262
San Marino,259,8,27,200,7633.0,0,943.0,259
Ivory Coast,245,27,25,219,9.0,0,0.04,245
Vietnam,240,1,90,150,2.0,0,0.0,240
Senegal,219,12,72,145,13.0,1,0.1,219
Palestine,217,23,21,195,43.0,0,0.2,217
Nigeria,214,4,25,185,1.0,0,0.02,214
Malta,213,11,2,211,482.0,0,0.0,213
Ghana,205,0,31,169,7.0,0,0.2,205
Montenegro,201,27,1,198,320.0,0,3.0,201
Mauritius,196,10,7,182,154.0,0,6.0,196
Faeroe Islands,181,2,93,88,3704.0,0,0.0,181
Sri Lanka,166,7,27,134,8.0,1,0.2,166
Georgia,162,7,36,125,41.0,1,0.3,162
Venezuela,155,2,52,96,5.0,0,0.2,155
DRC,154,6,3,133,2.0,2,0.2,154
Martinique,145,2,27,115,386.0,0,8.0,145
Niger,144,24,0,136,6.0,3,0.3,144
Kyrgyzstan,144,14,9,134,22.0,0,0.2,144
Bolivia,139,7,1,128,12.0,1,0.9,139
Brunei ,135,1,66,68,309.0,0,2.0,135
Guadeloupe,134,4,24,103,335.0,0,17.0,134
Mayotte,134,6,14,118,491.0,0,7.0,134
Kenya,126,4,4,118,2.0,0,0.07,126
Isle of Man,126,12,0,125,1482.0,0,12.0,126
Cambodia,114,0,50,64,7.0,0,0.0,114
Guinea,111,38,5,106,8.0,0,0.0,111
Trinidad and Tobago,103,5,1,96,74.0,0,4.0,103
Rwanda,102,13,0,102,8.0,0,0.0,102
Gibraltar,98,3,52,46,2909.0,0,0.0,98
Paraguay,96,4,12,81,13.0,0,0.4,96
Liechtenstein,77,2,0,76,2020.0,1,26.0,77
Bangladesh,70,9,30,32,0.4,2,0.05,70
Madagascar,70,0,0,70,3.0,0,0.0,70
Monaco,66,2,3,62,1682.0,0,25.0,66
Aruba,64,2,1,63,599.0,0,0.0,64
Guatemala,61,11,15,44,3.0,1,0.1,61
French Guiana,61,4,22,39,204.0,0,0.0,61
El Salvador,56,10,2,51,9.0,0,0.5,56
Jamaica,53,0,7,43,18.0,0,1.0,53
Barbados,52,1,0,52,181.0,0,0.0,52
Djibouti,50,1,8,42,51.0,0,0.0,50
Uganda,48,0,0,48,1.0,0,0.0,48
Macao,44,2,10,34,68.0,0,0.0,44
Mali,41,2,1,37,2.0,0,0.1,41
Togo,41,1,17,21,5.0,0,0.4,41
French Polynesia,40,1,0,40,142.0,0,0.0,40
Zambia,39,0,2,36,2.0,0,0.05,39
Ethiopia,38,3,4,34,0.3,0,0.0,38
Bermuda,37,2,14,23,594.0,0,0.0,37
Cayman Islands,35,6,1,33,533.0,0,15.0,35
Eritrea,29,7,0,29,8.0,0,0.0,29
Bahamas,28,4,0,24,71.0,1,10.0,28
Saint Martin,24,2,5,17,621.0,1,52.0,24
Guyana,23,0,0,19,29.0,0,5.0,23
Sint Maarten,23,0,6,13,536.0,0,93.0,23
Congo,22,0,2,18,4.0,0,0.4,22
Gabon,21,0,1,19,9.0,0,0.4,21
Myanmar,21,1,0,20,0.4,0,0.02,21
Tanzania,20,0,3,16,0.3,0,0.02,20
Haiti,20,2,1,19,2.0,0,0.0,20
Maldives,19,0,13,6,35.0,0,0.0,19
Libya,18,1,0,17,3.0,0,0.1,18
Guinea-Bissau,18,3,0,18,9.0,0,0.0,18
New Caledonia,17,0,1,16,60.0,0,0.0,17
Syria,16,0,2,12,0.9,0,0.1,16
Benin,16,0,2,14,1.0,0,0.0,16
Equatorial Guinea,16,0,1,15,11.0,0,0.0,16
Antigua and Barbuda,15,0,0,15,153.0,0,0.0,15
Dominica,14,0,0,14,194.0,0,0.0,14
Mongolia,14,0,2,12,4.0,0,0.0,14
Namibia,14,0,3,11,6.0,0,0.0,14
Saint Lucia,14,1,1,13,76.0,0,0.0,14
Fiji,12,5,0,12,13.0,0,0.0,12
Grenada,12,0,0,12,107.0,0,0.0,12
Curaçao,11,0,5,5,67.0,0,6.0,11
Greenland,11,1,3,8,194.0,0,0.0,11
Angola,10,2,2,6,0.3,0,0.06,10
Sudan,10,0,2,6,0.2,0,0.05,10
Liberia,10,3,3,6,2.0,1,0.2,10
Suriname,10,0,0,9,17.0,0,2.0,10
Laos,10,0,0,10,1.0,0,0.0,10
Mozambique,10,0,1,9,0.3,0,0.0,10
Seychelles,10,0,0,10,102.0,0,0.0,10
MS Zaandam,9,0,0,7,0.0,0,0.0,9
Zimbabwe,9,0,0,8,0.6,0,0.07,9
Nepal,9,3,1,8,0.3,0,0.0,9
Chad,9,1,0,9,0.5,0,0.0,9
Saint Kitts and Nevis,9,0,0,9,169.0,0,0.0,9
Eswatini,9,0,0,9,8.0,0,0.0,9
CAR,8,0,0,8,2.0,0,0.0,8
Cabo Verde,7,1,0,6,13.0,0,2.0,7
Vatican City,7,0,0,7,8739.0,0,0.0,7
St. Vincent Grenadines,7,0,1,6,63.0,0,0.0,7
Somalia,7,0,1,6,0.4,0,0.0,7
Mauritania,6,0,2,3,1.0,0,0.2,6
Montserrat,6,0,0,6,1202.0,0,0.0,6
St. Barth,6,0,1,5,607.0,0,0.0,6
Nicaragua,5,0,0,4,0.8,0,0.2,5
Bhutan,5,0,2,3,6.0,0,0.0,5
Turks and Caicos,5,0,0,5,129.0,0,0.0,5
Botswana,4,0,0,3,2.0,0,0.4,4
Gambia,4,0,2,1,2.0,0,0.4,4
Belize,4,0,0,4,10.0,0,0.0,4
Malawi,4,1,0,4,0.2,0,0.0,4
Sierra Leone,4,2,0,4,0.5,0,0.0,4
Western Sahara,4,4,0,4,7.0,0,0.0,4
Anguilla,3,0,0,3,200.0,0,0.0,3
British Virgin Islands,3,0,0,3,99.0,0,0.0,3
Burundi,3,0,0,3,0.3,0,0.0,3
Caribbean Netherlands,2,0,0,2,76.0,0,0.0,2
Falkland Islands,1,0,0,1,287.0,0,0.0,1
Papua New Guinea,1,0,0,1,0.1,0,0.0,1
Timor-Leste,1,0,0,1,0.8,0,0.0,1
Total:,1201453,84811,246258,890507,154.1,5801,8.3,1201453
